file_size,entropy,num_sections,num_imports,has_debug,has_reloc,string_count,suspicious_apis,packed,class
11196387,5.188367494992537,2,164,0,0,302,5,0,1
20472365,0.509496399372444,4,9,0,1,535,3,1,0
7020429,3.2730200541973984,3,130,1,1,264,1,1,0
2826025,1.3609641751439785,8,56,0,1,216,1,0,0
11658702,1.1623873452350395,2,192,1,1,486,8,1,0
6212514,3.5229456033888082,1,120,0,1,89,0,1,0
24422739,1.5007551488183255,6,147,1,1,520,3,1,0
1879134,3.849807099411107,2,189,0,0,883,5,0,1
6099573,6.351409967226403,9,139,0,1,376,3,0,1
14078326,2.1387000144995687,1,56,0,0,409,2,1,0
12237793,0.7028246209779718,5,73,0,0,522,6,1,0
9916653,1.5022692797882282,4,25,1,1,582,0,0,0
12245619,1.568210896367181,5,191,0,1,809,6,0,0
4364992,4.750970189204697,2,120,0,0,888,0,1,0
9604977,3.1882085159288422,1,109,1,0,563,6,1,0
68046870,0.8344829902821242,3,161,1,1,964,2,1,0
13499112,0.4432343283955671,4,73,0,0,462,5,1,0
5274129,3.708053417267079,4,178,1,0,703,2,0,0
1939897,7.131091394263196,1,95,1,1,231,1,1,0
12882311,2.1113389076559477,2,182,0,1,292,13,1,0
40555471,7.698476223657548,1,52,1,0,215,0,1,1
11536643,3.516484748698571,5,76,0,0,894,10,0,1
19510933,2.8312196789343744,6,142,0,1,433,2,0,1
16937554,2.3132142879704043,2,71,1,0,267,5,0,0
881365,2.9988815909546966,3,88,1,1,135,4,1,0
4196908,1.7961258426681326,4,68,0,0,156,0,0,1
18821899,7.863766400801653,4,177,0,0,657,0,0,1
722835,0.8994017532763268,6,39,0,0,98,0,1,0
6820071,5.139518182520786,7,16,1,0,254,4,0,0
476716,5.1122644956434495,1,47,1,1,763,0,1,0
4916016,2.9367036509619657,4,152,1,1,301,0,0,0
27143817,6.506908935397735,12,66,1,1,222,1,0,1
39215312,1.4590270607361866,7,136,1,0,210,5,1,0
1343820,0.22282376303510443,7,33,1,1,392,4,1,1
2283651,3.1028585098965147,4,80,1,0,469,8,0,0
2751246,4.646835535174838,2,59,0,0,835,1,1,1
2058517,7.161443704357558,3,101,1,1,121,12,0,0
2705556,0.0909409671572341,2,48,0,1,255,5,0,0
11854236,0.2269487357254718,2,85,1,0,944,3,0,0
22719310,1.5979792588714599,8,186,1,1,421,0,0,0
28869604,4.123319753808494,1,95,1,0,814,5,1,1
630994,3.319241786057849,4,25,1,0,293,9,1,0
3153233,4.947882675462024,8,135,1,1,593,6,1,0
21931784,4.2627993312460015,4,194,1,0,608,7,1,1
5488964,4.566980114452409,2,95,1,1,679,0,1,0
3248604,1.559870897789506,9,191,1,0,971,4,1,0
20418279,2.8008242127511958,6,88,0,1,637,5,0,0
84837175,5.216538523159083,4,16,1,1,957,6,1,0
19123504,1.4032402547735678,3,66,1,1,989,7,0,1
639830,2.0911210100296973,2,148,1,1,888,3,1,1
7891047,5.932342566286431,5,65,0,1,174,1,0,0
429506,0.16352558722568045,1,70,0,1,487,1,1,0
11424520,1.9272296853669548,1,80,0,0,295,5,0,1
4427522,2.801337164420639,5,141,0,0,973,6,1,1
856336,6.157798198751481,5,162,1,1,564,4,1,1
10392393,3.0179724466816706,1,64,0,1,654,0,1,0
7965266,5.820806602070623,6,166,1,0,736,1,1,0
8916983,4.4467329219558955,5,26,1,1,498,4,0,1
6030553,3.7646852124041814,3,101,0,1,826,1,0,0
18968727,7.299048868063727,7,54,0,0,685,5,1,1
8036424,1.3842598513093698,5,55,0,0,102,3,0,1
12640943,4.020407648872011,2,68,0,0,419,4,1,0
2215285,4.910528527260889,2,152,1,1,834,1,0,0
23133620,0.02591007082240271,4,93,0,1,536,2,0,0
7404856,1.355196979980577,1,118,1,0,45,9,0,1
6094166,1.9291004328130112,4,23,1,0,114,2,1,0
2838416,3.733932153151448,7,23,1,0,440,12,0,0
15258707,3.4772842154242047,2,178,0,0,57,2,1,1
12247761,1.667022715697028,4,121,0,0,132,5,1,0
21929098,5.416577797148281,1,99,1,1,800,7,0,0
296531,2.1050638386192864,3,99,0,1,201,14,1,0
25565052,5.044825263339683,1,41,0,0,345,0,1,0
26306983,7.479078907443019,7,62,1,0,325,8,0,0
3401384,3.6811055744484724,8,60,1,0,998,7,1,0
23491653,6.506720574823613,8,172,1,1,404,0,1,1
15555757,5.474393037397288,2,139,1,1,896,4,1,0
18873283,5.636598979408536,5,43,1,1,41,3,1,0
9832741,1.8449994862706003,1,93,1,1,665,1,1,0
12162110,7.595545761665475,10,65,0,1,429,7,0,1
7605980,1.1162751934233865,11,48,1,0,775,5,1,1
3345335,3.32045783720908,7,80,1,1,823,3,1,1
2632330,4.648966294398661,3,59,0,1,430,5,1,0
2931541,6.953682198605173,6,23,1,0,768,1,0,1
1358415,3.813404271278957,7,97,1,1,683,0,0,0
759705,6.411765709135652,2,8,0,0,372,3,1,1
33216693,4.46822621932709,8,150,0,0,466,0,1,1
12992825,7.4433367082392925,7,19,1,1,666,2,1,0
14928130,2.055006357616331,8,64,0,1,63,0,0,1
867828,7.282641038534627,6,192,1,0,782,3,0,1
1352626,3.0870785739479523,1,107,0,0,949,5,0,0
1088589,1.9896342371498212,7,65,0,1,279,2,0,1
10963235,0.5228038877841552,1,14,1,1,464,0,1,1
22380271,2.5583442423303877,7,193,0,0,96,7,1,0
19520447,3.0711425890896695,6,83,1,0,260,3,1,0
20656511,3.302312503505088,5,97,0,1,471,3,1,1
488942,4.261624493384181,4,10,1,1,982,0,1,0
1926859,5.541138590003689,1,46,0,0,19,10,0,0
2779793,5.466626235954026,7,110,1,0,412,6,1,1
946619,4.14890345237612,5,66,0,0,746,6,0,0
72529766,5.750067507855717,1,53,0,0,557,0,1,0
8531370,1.228364369014768,4,41,0,1,621,2,0,0
5254666,0.37312849464657294,5,35,0,0,635,0,0,1
426451,7.738960416862119,3,188,1,0,414,6,0,0
7246358,5.802562299240262,5,31,0,0,380,5,0,1
3501923,1.0946794574305638,1,51,0,1,523,4,1,1
5108449,3.4007392046459968,8,191,1,0,235,0,1,0
15457165,1.7765911569488573,7,65,1,1,421,0,0,0
1341805,6.323233121462078,1,168,0,0,933,0,0,1
16704046,6.7773034616511625,7,90,0,1,703,5,0,0
32525046,1.4149576772673909,3,12,0,1,504,8,1,1
21583505,0.5440692351596184,2,151,1,0,161,4,0,0
2121838,5.635099410614645,3,18,0,0,392,0,0,1
28768149,6.57807197530518,1,55,0,1,917,11,1,0
14252276,1.8823609785701585,3,6,0,1,488,0,0,1
30143,1.6431665556779587,1,126,0,1,727,1,0,1
20166267,4.56455448602574,1,189,0,0,456,0,1,0
14088112,4.375490599634685,7,98,1,1,327,7,0,1
5358455,0.12392760629911237,6,150,0,0,99,2,1,1
8925899,7.646110445467609,1,73,1,0,302,10,1,0
939709,6.826447215162159,1,17,1,1,206,0,0,0
12946174,3.6594889828264003,4,27,1,0,395,3,0,0
21440811,4.346678907043339,6,45,1,1,297,0,1,1
10094208,7.477870189614831,8,195,0,1,445,5,1,0
1885687,0.06687452565089558,1,24,1,1,910,0,1,0
3877942,0.9642427285450506,6,53,0,0,115,4,0,1
1949401,6.9582440912808625,8,192,0,0,10,10,0,0
14840900,2.0986950103882176,4,142,1,0,398,0,0,0
17960275,6.60137336357901,1,154,1,0,387,0,0,0
6136165,6.630188880502746,9,159,1,1,437,0,0,0
9709408,1.291659270581925,4,19,0,0,31,5,0,1
5746453,5.715321975997598,4,29,1,1,219,4,0,0
11610294,3.5392799786677642,1,87,0,0,756,6,1,0
3374551,1.8719975768743273,1,51,1,0,646,3,0,0
916052,0.7791995508662097,5,121,1,0,262,6,0,0
12535219,3.840409042427032,2,180,0,1,454,0,0,0
1362665,3.455998219973117,5,85,0,0,741,7,0,0
5802517,7.242727363802221,8,34,1,0,293,0,0,1
4441787,1.1926653289591576,4,46,1,0,688,4,1,0
5813750,3.9599294805504597,5,144,0,0,788,1,0,1
1536612,2.232928246927119,5,196,0,1,422,10,0,0
1653465,3.7775463690271485,4,121,1,1,215,8,0,1
28999996,5.417201879186501,1,163,1,0,414,0,1,0
833531,3.050859759052001,3,172,1,1,959,10,0,1
11321,2.4317875192381946,4,184,1,1,891,4,0,0
19445803,7.907744384696595,4,37,1,1,963,0,0,0
7847947,1.8304426393776652,1,146,0,1,217,1,0,1
2845783,4.230712411976456,10,9,1,1,296,0,1,0
11208222,0.9833582935433771,4,82,1,0,243,0,0,0
8151071,6.093496005613023,8,126,1,1,847,4,1,0
8147726,2.1263919776096323,1,165,1,0,711,0,0,0
34990728,2.8573560113983243,5,40,0,0,937,3,0,0
1899172,6.049406199315447,3,16,0,0,857,2,1,0
17717036,6.457670650662137,5,138,1,0,333,4,0,1
10361870,6.67660639086703,3,152,0,1,319,0,0,0
11158596,3.9668237567989673,3,56,1,1,108,8,0,0
3461562,5.8903486132310725,1,152,0,1,871,0,0,1
1391901,2.4100600791513065,2,35,1,0,495,2,0,0
1409353,2.870661651469179,2,102,1,1,26,2,0,0
29045685,6.847753656810392,1,67,0,1,317,10,1,0
948495,1.4199377322544944,5,72,0,0,586,3,1,1
5880570,0.8495041089831528,3,20,0,0,750,1,0,0
40396563,7.336102534292593,4,31,0,0,356,3,1,0
8908998,3.870453322175986,3,108,0,0,294,14,1,0
14235204,4.598026427316105,9,38,0,1,227,0,1,0
13150346,1.014089949848457,4,133,0,0,580,0,0,1
14586790,3.4952763276177867,8,85,0,0,946,13,0,0
7693617,3.674925453168062,5,63,0,1,253,0,0,1
32666391,5.700026912483083,1,145,1,1,473,4,0,1
32385014,7.471055519440039,3,35,1,1,923,2,0,0
13076846,3.5809271630579484,7,70,1,1,605,10,0,0
21961422,3.2719393811607205,5,150,1,0,361,9,0,0
15746509,3.346985459253209,1,25,1,1,54,9,0,1
19101566,3.977570839959796,6,57,1,1,480,2,0,0
8213690,4.39063285673258,1,52,0,0,442,6,1,1
1245009,6.044008471736735,4,125,1,1,253,0,1,1
6748432,2.5866043412430075,6,25,0,0,938,1,0,0
8487605,0.6762355130133546,4,79,1,0,760,3,0,0
11436176,4.9794628486557535,1,141,1,1,974,6,1,1
3447082,6.726509382436884,5,199,0,0,433,0,0,0
355243,3.4404167342172256,5,164,1,1,733,5,0,0
18685665,0.19252297105911964,5,23,1,0,956,7,1,1
19578632,5.672629658770382,2,113,0,0,276,0,1,0
7446825,6.53987830492566,3,176,0,1,736,0,1,0
12739058,7.301036498512246,1,146,1,0,661,2,1,0
5294405,2.1282221065879403,2,8,0,0,335,0,0,0
22561430,7.462037381883482,5,67,0,1,168,4,1,1
6824174,4.506544332881573,1,131,1,1,610,8,0,0
38682444,2.0978879131700454,1,80,0,1,798,2,0,1
4625054,2.299386823772358,1,13,1,1,531,0,1,0
4159094,3.09651946632407,2,7,1,0,745,5,0,0
3074650,2.2757671510964084,11,83,0,1,779,6,0,0
9483136,2.464354704215827,1,113,1,0,698,5,0,0
21389874,4.891364590711475,1,177,1,1,176,0,1,1
5096088,0.4329967306717819,3,115,1,1,82,0,1,0
14010397,1.5904971722636034,3,160,0,1,474,2,1,0
3699272,3.858042261763736,6,176,0,0,127,8,1,0
5360696,0.3055394176480908,7,125,1,1,161,4,0,1
5895608,4.440718291551631,4,42,0,0,202,0,1,0
12667120,6.8526796124248825,7,97,1,0,214,8,1,0
4797033,1.574675861171671,7,91,0,1,113,1,1,1
7658921,5.410425145171259,10,166,0,1,449,2,1,0
10873911,4.5172804321765785,1,29,0,0,730,5,1,0
17566715,1.1230653520098715,3,185,0,1,331,3,1,1
2604533,6.674819238313166,3,126,1,1,401,0,1,0
662311,5.997084395824728,8,186,1,0,719,9,1,0
6361448,7.02224397513979,8,15,1,1,216,1,0,0
8454127,0.06237014233424709,3,141,1,1,404,9,1,1
1888672,4.710839645575975,7,177,1,0,688,15,1,0
14308768,5.582011543774923,4,70,0,1,254,10,1,0
42406392,2.3682917668466876,5,171,0,1,279,4,0,1
8114398,5.276264634188945,1,104,1,1,248,9,1,0
25558054,0.5792496205998319,9,176,1,0,966,4,1,1
6450524,1.8491967383914671,5,130,1,1,49,9,1,0
998478,6.586283489800812,8,134,1,0,12,2,1,0
7939567,7.008915765085154,6,192,1,1,194,8,0,0
1296931,7.938638295456632,7,19,1,1,232,0,1,0
5142111,7.7518087562153015,8,152,1,1,364,6,1,0
8319262,4.416385273493628,7,29,0,1,579,0,0,0
21005565,4.668510199103409,1,86,0,0,90,6,1,0
2383416,6.664180150381532,6,189,0,0,104,0,1,0
21357311,0.9887826431753721,5,12,1,0,821,4,1,0
1812416,6.854985538324723,5,188,1,0,488,15,1,1
3501912,0.5352868052866278,5,50,1,1,788,3,1,1
71346399,7.663576629332666,1,165,0,1,278,0,0,0
26477852,5.19541480621418,1,23,1,0,134,1,1,0
8861794,4.299249122702573,7,169,0,1,56,3,0,0
6205275,0.3852417140026878,4,198,0,1,398,0,0,0
6309075,4.645838339693713,1,94,1,1,350,7,0,0
17564546,6.289169072626953,6,117,1,0,764,7,0,1
53142318,1.1927814441869522,1,181,0,1,780,8,1,0
2798698,2.8707592964836435,1,73,1,0,476,3,0,0
11520624,0.20329762359053127,6,75,1,0,105,7,0,1
387300,0.888842908372447,4,128,0,1,703,7,0,0
23404021,6.959996880875911,9,61,0,0,546,3,0,0
12405163,5.558616709169245,4,184,1,0,93,2,0,1
1265404,1.7157523774588501,5,84,0,1,708,0,1,1
4166215,2.9083906322686897,9,5,1,1,349,4,0,1
21967298,6.17101290920642,4,166,0,1,510,0,1,0
28926428,1.5408647638571198,7,168,0,1,131,2,1,1
9960441,6.681616480518605,2,157,1,0,808,0,1,1
12232265,5.789321784124564,5,27,1,0,377,6,1,1
17523050,4.765586874266827,4,121,0,0,796,4,0,1
6237419,6.858953338536253,7,69,1,0,38,7,1,0
14108863,1.5029096739849646,4,81,1,0,763,9,1,1
16022715,0.04832952832398085,1,123,0,1,247,1,0,0
115249,0.03896276027030954,4,120,1,1,327,5,1,0
5405606,2.5329711171355047,9,13,0,0,709,2,1,0
1755299,1.7879622712094188,5,102,0,0,830,5,0,1
26409601,5.88861685570427,5,153,0,1,450,5,0,0
20684659,7.802113848437588,2,49,0,0,997,6,0,1
3595381,6.8074778855373,13,81,1,1,991,4,0,1
18027097,6.711686661315816,4,104,0,1,401,0,1,0
5461622,7.734656865216831,7,175,1,0,523,6,1,1
46445711,5.026082932310833,6,67,0,0,716,6,1,0
6842712,4.463250805047625,2,59,1,0,600,0,0,0
59100050,6.103284120250793,6,42,1,1,385,8,0,0
6020876,5.1624775390834,6,27,0,1,173,1,1,1
3646893,0.48874013832360497,6,132,1,0,406,3,1,1
16617361,2.6632930659079,8,22,0,1,515,3,0,0
14648734,4.188576089122966,8,188,1,0,903,6,1,0
20509528,6.560497046004708,2,47,0,0,544,2,0,0
18838718,4.02765626102107,7,48,1,1,727,0,0,0
4771377,0.4581455333174498,7,150,1,0,862,2,1,0
17631262,3.3960816248707566,1,187,0,1,691,8,1,1
11787232,2.1032302349567003,7,45,0,1,240,4,1,1
7284772,0.612604938284238,1,129,0,0,984,5,0,0
370299,7.029489235051284,8,187,1,1,73,11,1,0
29199784,0.5628535681035096,1,39,1,0,317,0,0,0
7569153,5.6546689394010885,5,196,1,1,149,7,1,0
9185487,4.3249984943787245,6,43,0,1,852,9,1,0
3845982,6.910250325956038,8,178,1,1,799,10,1,0
9223494,0.15393667620478357,3,116,0,1,678,4,0,0
9595071,7.68914802390714,2,168,1,1,126,5,0,1
2732201,7.884310286222981,1,140,1,1,130,0,0,1
3943888,3.611383161821932,1,70,1,1,311,4,0,1
6781626,5.967024494048225,1,159,1,0,683,4,0,0
9764843,5.283215990479293,3,104,0,0,202,0,0,0
2297317,1.6210502750982174,4,48,1,1,403,0,0,0
8099143,7.519864254887472,1,177,1,1,171,5,1,0
20828471,5.334842563859787,1,73,1,0,872,2,0,0
3532906,1.4079931790507763,4,112,1,1,659,1,0,1
11873508,0.8529572080174219,3,26,0,1,160,10,0,0
10252604,2.8765710126516844,1,75,0,1,420,6,0,0
23965472,7.367333125633542,6,134,1,1,15,4,1,0
26196168,6.261611688582006,1,98,1,0,557,2,0,0
9462008,0.8801092683290532,6,54,1,0,976,7,0,0
13092864,1.8840691664693132,9,45,0,0,537,0,0,0
66718649,1.5473047551129042,5,34,0,1,501,1,0,0
644074,5.843264675869711,4,14,0,1,617,1,1,0
84184,3.200764871232015,4,171,0,1,850,7,0,0
16691022,2.569471357760243,6,152,0,0,27,2,0,1
570473,6.885656055996466,6,182,1,1,503,8,0,0
3965262,3.08924494964298,2,122,1,0,373,7,1,1
6955561,1.5859238924967487,2,90,1,0,637,13,1,1
29703716,2.995634759011619,7,23,0,0,156,0,1,1
13939363,3.376129642916581,6,51,0,0,797,0,1,0
10355756,5.023796296990439,1,89,0,1,121,5,0,0
37400689,3.4049465364603826,1,181,1,1,686,0,0,1
8169776,5.188775130825944,8,78,0,0,446,0,1,0
2021871,7.141978186282873,1,99,0,1,102,1,1,0
3971844,4.21132397715989,4,42,1,1,225,0,1,0
36853905,3.562148144255284,6,145,0,0,419,5,1,0
2826771,2.0334288263313907,1,98,1,1,930,8,0,0
29216488,6.855847540426465,4,5,0,1,832,0,0,0
3658173,3.0947835288287466,8,85,0,0,799,5,1,1
6933157,3.03348428750511,4,155,1,0,955,0,1,0
24671488,4.086016247052983,4,20,1,0,384,0,1,0
18324733,3.3134125088387405,11,168,0,1,953,6,1,0
1662309,3.0821515144386264,1,111,1,0,99,0,1,0
27122265,5.1755371759071505,5,11,0,0,696,6,0,0
5378268,0.32200224870663785,5,72,0,0,610,8,0,0
20530011,6.1368325256592575,2,129,0,1,884,0,0,0
10153702,4.795623127247501,3,160,1,0,565,8,0,0
2129446,1.7614193108566107,4,68,1,0,34,5,1,0
13451258,1.0157973610672801,4,170,1,0,177,6,0,0
6203063,7.1413259477320805,4,45,0,1,572,4,0,0
20215243,4.783998579525176,2,84,0,1,762,5,0,1
5994218,6.370247150905491,4,164,0,0,243,2,1,0
2119620,6.518791529935062,2,183,1,1,891,2,0,1
7143805,3.052881049654758,1,66,0,0,271,0,1,0
219483,4.93201585598883,1,11,1,0,604,1,0,0
9110647,1.6705569982219348,1,130,1,0,54,7,0,0
3703398,2.3486052041738645,5,84,0,1,119,6,1,1
16007971,3.69726355816272,4,197,1,0,933,0,0,1
288595,1.215004341690861,4,185,1,0,180,6,0,1
6006962,2.3720177373406806,4,66,1,1,996,8,1,1
3156963,7.635443326539121,7,193,1,0,113,2,0,0
23134859,5.875288247269961,1,138,0,1,133,0,1,0
21171712,3.7117478760124287,8,83,1,0,710,3,0,0
1697518,4.303779390201499,4,135,0,1,666,1,0,1
4075207,7.308391520848992,2,139,0,1,272,8,0,0
620545,2.3783206158496943,8,81,0,0,706,5,1,0
5371153,7.620999485196137,4,125,0,1,776,5,0,1
4345379,1.890795871088132,5,183,1,1,793,7,0,1
17227465,4.184446965790748,6,77,1,1,861,2,0,0
298588,7.002698141189911,1,25,1,1,51,3,0,1
1940996,0.35226712430029306,15,169,0,0,440,0,0,1
2400829,5.91071421046863,4,71,1,1,324,8,0,0
13406266,3.8291872479295943,3,34,1,0,21,1,0,0
14135973,5.961558461270006,2,170,1,1,139,4,1,0
1941500,4.90370737365439,5,110,0,1,641,6,1,0
6321568,0.9416864890150372,1,151,0,1,246,1,1,1
22847885,3.4738013537522043,3,75,0,1,582,2,1,1
5279555,4.139604079427712,4,146,1,1,347,3,0,0
25874704,0.7881381037847186,9,42,1,0,931,0,0,0
13868407,2.3954832646665647,7,105,0,1,14,0,1,1
1973965,5.248522320243418,7,116,1,0,659,3,0,1
3371481,1.0212031997433986,2,41,1,0,943,6,0,0
11660706,5.942127233002798,6,131,1,0,157,1,1,1
27492729,3.0145620445916492,7,105,0,0,574,14,1,1
796184,7.518183265876835,6,12,0,0,25,3,0,0
5515004,1.021318565967925,10,26,1,0,199,7,0,1
22202942,7.8185691972301745,8,45,1,0,299,9,1,0
7636457,2.24798093738407,5,142,1,0,311,1,1,0
2986130,4.869001890351311,11,107,1,1,850,0,1,1
2287711,7.697799707002434,7,58,0,1,145,10,0,0
308267,4.865704605819261,3,186,0,1,377,0,1,0
5088933,5.423403322108771,1,8,0,1,893,0,1,0
14818637,1.7551965733528254,7,168,0,0,248,3,1,1
38461201,5.160140552549306,14,178,0,0,969,4,0,1
2475517,1.3211013104955187,2,193,0,0,493,7,0,0
6185747,4.544076277836032,7,65,0,1,14,3,0,0
2732577,5.463707685832198,3,68,1,1,868,3,1,0
2943894,5.324078028404437,3,61,0,1,976,3,1,0
24397642,2.0998372995603365,5,124,0,1,903,0,1,0
1071332,0.6883587785481229,2,125,1,1,539,8,0,0
17183838,0.4011074831131225,6,65,1,1,15,9,1,1
10785037,5.660218620209777,9,142,1,1,537,4,0,0
4709150,7.638498657653652,3,103,0,0,273,0,1,0
21858987,3.934950573877373,1,165,0,1,565,5,1,0
5319956,3.7013573642493087,6,13,1,0,649,9,1,1
39493007,2.8048251663321775,1,117,1,0,650,10,1,0
15413526,1.8628158185006454,1,68,1,1,897,7,0,0
4126093,5.967496401235873,2,31,1,0,449,4,0,0
2512789,6.069730077212636,3,92,0,1,663,8,1,0
6296784,1.0408402504408887,1,83,0,1,265,3,1,0
5375983,7.798630991051289,1,79,0,0,93,3,0,0
6057930,1.0245094467418907,5,131,1,1,944,0,1,0
8466190,4.049401402657803,8,158,1,1,399,8,0,1
16303176,3.339041117033706,6,41,1,1,834,8,0,0
807755,0.07056324860705043,6,142,1,1,438,7,1,1
1916405,5.763276152906827,6,31,0,1,414,2,1,1
1639920,5.461648054822167,8,196,1,1,952,2,0,1
33267450,2.7961209769346125,1,160,0,1,942,3,1,0
16413860,5.666916406682296,4,118,0,1,863,3,0,1
4683582,1.5899698594023866,5,78,1,0,368,2,0,0
635852,0.12548516745407223,6,125,1,0,782,0,1,0
27841863,1.1490704283875344,4,146,1,0,241,5,1,0
11709644,6.894608706915821,2,198,0,1,855,4,1,0
12118542,2.6069829933532995,1,58,0,1,25,3,1,0
34474263,3.014235138774021,2,25,1,1,404,7,0,0
33991190,5.669008448786685,4,127,0,0,129,8,1,0
9939741,7.542171495467149,10,81,0,0,917,7,0,1
22527698,0.9737025502097199,4,183,0,0,900,0,1,0
12964326,7.571273116819909,3,197,0,1,111,3,1,0
5698381,2.304229554489817,3,92,1,1,583,0,0,0
4675783,4.591379558958612,1,5,1,1,175,1,0,1
61092495,7.654604479395234,8,80,1,1,797,13,1,0
4488870,4.4935211655740845,1,197,0,1,986,2,1,0
7992199,1.9243135452872133,9,98,1,1,620,4,0,1
3882469,0.05968123763926325,4,66,0,1,107,3,0,1
9407524,4.100276181139635,4,91,1,1,510,6,1,0
9999908,6.552165152921892,1,88,0,1,913,2,1,0
7002541,7.838994705677728,5,164,0,1,248,2,1,0
1721876,2.2895454976475893,5,191,0,1,26,2,1,0
2399083,4.211840493637885,1,27,0,0,974,6,0,1
2533380,7.0845245323013595,3,89,0,0,21,1,0,1
2437822,1.3766021575463636,3,66,0,1,817,9,0,0
14815091,0.028784813405229315,4,154,0,1,834,1,0,0
6564113,2.499199363994564,7,156,0,1,944,4,1,0
2859746,4.332790805337247,5,183,0,1,881,4,1,0
7513118,3.3802456039271878,7,137,0,1,978,4,1,1
51378095,1.9693008639420118,2,82,1,1,820,0,1,1
4402208,0.5591150405682734,12,68,0,1,829,0,0,1
17465049,7.7847757409875795,7,165,0,1,632,3,1,0
4547167,6.244771107992485,6,87,1,1,455,2,1,0
35490440,0.8712457999527636,6,9,1,0,745,1,0,0
17686679,1.292985047231098,5,53,0,0,792,7,1,0
3570041,5.791297011495265,4,153,1,0,289,1,1,1
9855371,4.26635914870902,6,96,0,0,13,7,1,1
9088630,3.2125727472157912,8,169,1,1,990,3,1,0
6529019,1.7042423100220603,7,157,1,0,65,6,0,0
3528568,3.097843253991588,1,73,1,0,851,3,0,0
20835549,2.5367802578456793,3,81,0,1,740,7,0,1
19447279,4.37748408863255,1,107,1,0,325,5,0,0
23300156,0.7211220729275638,2,153,1,0,356,5,0,0
26483576,4.857974529733091,3,144,0,1,351,2,0,0
38989102,1.4769690530722146,9,56,0,1,738,8,1,0
10470377,7.917015346571836,7,78,1,0,943,6,1,0
7007614,3.1323043476948405,1,73,0,1,378,4,1,0
12535236,0.5971304795401258,4,9,1,1,414,2,1,0
2828175,6.309082981026892,2,16,0,0,67,2,1,1
27024603,3.0013455967889735,1,170,0,1,777,2,1,0
12836563,0.6682982472308634,3,65,1,0,759,0,0,0
7215187,5.770356962127356,6,39,0,0,251,3,0,0
26195885,4.515081807462067,1,126,1,1,939,4,0,0
15028453,4.649341290521135,7,182,0,0,762,0,1,1
12682442,4.2215539972423555,4,106,0,0,408,0,0,0
